# x_m,y_m,w_tr_right_m,w_tr_left_m
-13.0000,0.5000,2.0000,2.0000
-12.9993,0.5524,2.0000,2.0000
-12.9973,0.6047,2.0000,2.0000
-12.9938,0.6569,2.0000,2.0000
-12.9890,0.7091,2.0000,2.0000
-12.9829,0.7611,2.0000,2.0000
-12.9754,0.8129,2.0000,2.0000
-12.9665,0.8645,2.0000,2.0000
-12.9563,0.9158,2.0000,2.0000
-12.9447,0.9669,2.0000,2.0000
-12.9319,1.0176,2.0000,2.0000
-12.9176,1.0680,2.0000,2.0000
-12.9021,1.1180,2.0000,2.0000
-12.8853,1.1676,2.0000,2.0000
-12.8672,1.2167,2.0000,2.0000
-12.8478,1.2654,2.0000,2.0000
-12.8271,1.3135,2.0000,2.0000
-12.8052,1.3610,2.0000,2.0000
-12.7820,1.4080,2.0000,2.0000
-12.7576,1.4543,2.0000,2.0000
-12.7321,1.5000,2.0000,2.0000
-12.7053,1.5450,2.0000,2.0000
-12.6773,1.5893,2.0000,2.0000
-12.6483,1.6328,2.0000,2.0000
-12.6180,1.6756,2.0000,2.0000
-12.5867,1.7175,2.0000,2.0000
-12.5543,1.7586,2.0000,2.0000
-12.5208,1.7989,2.0000,2.0000
-12.4863,1.8383,2.0000,2.0000
-12.4507,1.8767,2.0000,2.0000
-12.4142,1.9142,2.0000,2.0000
-12.3767,1.9507,2.0000,2.0000
-12.3383,1.9863,2.0000,2.0000
-12.2989,2.0208,2.0000,2.0000
-12.2586,2.0543,2.0000,2.0000
-12.2175,2.0867,2.0000,2.0000
-12.1756,2.1180,2.0000,2.0000
-12.1328,2.1483,2.0000,2.0000
-12.0893,2.1773,2.0000,2.0000
-12.0450,2.2053,2.0000,2.0000
-12.0000,2.2321,2.0000,2.0000
-11.9543,2.2576,2.0000,2.0000
-11.9080,2.2820,2.0000,2.0000
-11.8610,2.3052,2.0000,2.0000
-11.8135,2.3271,2.0000,2.0000
-11.7654,2.3478,2.0000,2.0000
-11.7167,2.3672,2.0000,2.0000
-11.6676,2.3853,2.0000,2.0000
-11.6180,2.4021,2.0000,2.0000
-11.5680,2.4176,2.0000,2.0000
-11.5176,2.4319,2.0000,2.0000
-11.4669,2.4447,2.0000,2.0000
-11.4158,2.4563,2.0000,2.0000
-11.3645,2.4665,2.0000,2.0000
-11.3129,2.4754,2.0000,2.0000
-11.2611,2.4829,2.0000,2.0000
-11.2091,2.4890,2.0000,2.0000
-11.1569,2.4938,2.0000,2.0000
-11.1047,2.4973,2.0000,2.0000
-11.0524,2.4993,2.0000,2.0000
